table_name,column_name,data_type,ordinal_position
cln_actionkit__core_mailing,pid,INT64,48
cln_actionkit__core_mailing,sent_proofs,INT64,49
cln_actionkit__core_mailing,mergefile_id,INT64,50
cln_actionkit__core_mailing,target_mergefile,BOOL,51
cln_actionkit__core_mailing,mergequery_report_id,INT64,52
cln_actionkit__core_mailing,target_mergequery,BOOL,53
cln_actionkit__core_mailing,send_time_source,STRING,54
cln_actionkit__core_mailing,send_time_validation_job_id,INT64,55
cln_actionkit__core_mailing,mails_per_second,FLOAT64,56
cln_actionkit__core_mailing,send_date,STRING,57
cln_actionkit__core_mailing,exclude_ordering,INT64,58
cln_actionkit__core_mailing,test_group_id,INT64,59
cln_actionkit__core_mailing,test_remainder,INT64,60
cln_actionkit__core_mailing,version,INT64,61
cln_actionkit__core_mailing,archive,STRING,62
cln_actionkit__core_mailing,use_autotest,BOOL,63
cln_actionkit__core_mailing,autotest_status,STRING,64
cln_actionkit__core_mailing,autotest_resend_id,INT64,65
cln_actionkit__core_mailing,autotest_wait_minutes,INT64,66
cln_actionkit__core_mailing,autotest_metric,STRING,67
cln_actionkit__core_mailing,autotest_max_unsub_rate,FLOAT64,68
cln_actionkit__core_mailing,send_time_local,DATETIME,69
cln_actionkit__core_mailing,send_time_local_fallback,DATETIME,70
cln_actionkit__core_mailing,amp_html,STRING,71
cln_actionkit__core_mailing,send_time_local_no_fallback,BOOL,72
cln_actionkit__core_mailing,bee_json,STRING,73
cln_actionkit__core_mailing,bee_session,STRING,74
cln_actionkit__core_mailing,amp_archive,STRING,75
cln_actionkit__core_mailing,source_schema,STRING,76
cln_actionkit__core_mailing,source_table,STRING,77
cln_actionkit__core_mailing,vendor,STRING,78
cln_actionkit__core_mailing,vendor_unique_mailing_id,STRING,79
cln_actionkit__core_mailing,data_owner_id,INT64,80
cln_actionkit__core_mailing,data_owner_code,STRING,81
cln_actionkit__core_mailing_tags,_dbt_source_relation,STRING,1
cln_actionkit__core_mailing_tags,id,INT64,2
cln_actionkit__core_mailing_tags,mailing_id,INT64,3
cln_actionkit__core_mailing_tags,tag_id,INT64,4
cln_actionkit__core_mailing_tags,source_schema,STRING,5
cln_actionkit__core_mailing_tags,source_table,STRING,6
cln_actionkit__core_mailing_tags,vendor,STRING,7
cln_actionkit__core_mailing_tags,vendor_unique_mailing_tag_id,STRING,8
cln_actionkit__core_mailing_tags,data_owner_id,INT64,9
cln_actionkit__core_mailing_tags,data_owner_code,STRING,10
cln_actionkit__core_mailingsubject,_dbt_source_relation,STRING,1
cln_actionkit__core_mailingsubject,id,INT64,2
cln_actionkit__core_mailingsubject,utc_created_at,TIMESTAMP,3
cln_actionkit__core_mailingsubject,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_mailingsubject,text,STRING,5
